timestamp_iso,session_id,user_name,gender,age_group,major,app_name,app_experience,trial_number,task_index,task_description,duration_seconds,errors_count,help_count,easy_binary
2025-10-28T22:36:51.140673,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,1,0,Open the article in Edit mode,1,0,0,1
2025-10-28T22:36:54.136761,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,1,1,Add a new line of text,0,0,0,1
2025-10-28T22:36:56.733662,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,1,2,Make a word bold,0,0,0,1
2025-10-28T22:36:59.315276,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,1,3,Make a word italic,0,0,0,1
2025-10-28T22:37:01.928223,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,1,4,Insert an internal link to another article,0,0,0,1
2025-10-28T22:37:04.477057,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,1,5,Insert an external link to a website,0,0,0,1
2025-10-28T22:37:07.099095,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,1,6,Create a bulleted list with 3 items,0,0,0,1
2025-10-28T22:37:10.033336,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,1,7,Add a sub-heading,0,0,0,1
2025-10-28T22:37:12.638585,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,1,8,Write an edit summary before saving,0,0,0,1
2025-10-28T22:37:15.098527,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,1,9,Insert an image into the article,0,0,0,1
2025-10-28T22:37:17.522947,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,1,10,Add a table (2 rows × 2 columns),0,0,0,1
2025-10-28T22:37:19.782200,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,1,11,"Insert a template (e.g., {{Citation needed}})",0,0,0,1
2025-10-28T22:37:22.167294,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,1,12,Use the Preview option,0,0,0,1
2025-10-28T22:37:24.541963,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,1,13,Publish (save) the changes,0,0,0,1
2025-10-28T22:37:31.188285,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,2,0,Open the article in Edit mode,0,0,0,1
2025-10-28T22:37:34.236510,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,2,1,Add a new line of text,0,0,0,1
2025-10-28T22:37:37.143015,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,2,2,Make a word bold,0,0,0,1
2025-10-28T22:37:39.603576,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,2,3,Make a word italic,0,0,0,1
2025-10-28T22:37:42.068061,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,2,4,Insert an internal link to another article,0,0,0,1
2025-10-28T22:37:44.434449,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,2,5,Insert an external link to a website,0,0,0,1
2025-10-28T22:37:46.853645,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,2,6,Create a bulleted list with 3 items,0,0,0,1
2025-10-28T22:37:49.127894,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,2,7,Add a sub-heading,0,0,0,1
2025-10-28T22:37:52.321581,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,2,8,Write an edit summary before saving,0,0,0,1
2025-10-28T22:37:55.196186,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,2,9,Insert an image into the article,0,0,0,1
2025-10-28T22:37:57.964073,5a0188a5-50ab-4543-9be5-4d2958f158f1,jkjji,Female,40+,jkjhjk,Wiki-Edit,Beginner,2,10,Add a table (2 rows × 2 columns),0,0,0,1
